# empty base media with all environment molecules from wcEcoli
"molecule id"	"concentration (units.mmol / units.L)"
"GLC"	0.0
"ACET"	0.0
"FUM"	0.0
"MAL"	0.0
"SUC"	0.0
"OXYGEN-MOLECULE"	0.0
"AMMONIUM"	0.0
"NA+"	0.0
"PI"	0.0
"K+"	0.0
"SULFATE"	0.0
"FE+2"	0.0
"FE+3"	0.0
"CA+2"	0.0
"CL-"	0.0
"CO+2"	0.0
"MG+2"	0.0
"MN+2"	0.0
"NI+2"	0.0
"ZN+2"	0.0
"WATER"	0.0
"CARBON-DIOXIDE"	0.0
"CPD0-1958"	0.0
"L-SELENOCYSTEINE"	0.0
"GLC-D-LACTONE"	0.0
"CYTOSINE"	0.0
"CYTIDINE"	0.0
"ARABINOSE"	0.0
"CPD-183"	0.0
"INDOLE"	0.0
"NITRATE"	0.0
"NITRITE"	0.0
"S-ADENOSYLMETHIONINE"	0.0
"CPD-520"	0.0
"TUNGSTATE"	0.0
"L-ALPHA-ALANINE"	0.0
"ARG"	0.0
"ASN"	0.0
"L-ASPARTATE"	0.0
"CYS"	0.0
"GLT"	0.0
"GLN"	0.0
"GLY"	0.0
"HIS"	0.0
"ILE"	0.0
"LEU"	0.0
"LYS"	0.0
"MET"	0.0
"PHE"	0.0
"PRO"	0.0
"SER"	0.0
"THR"	0.0
"TRP"	0.0
"TYR"	0.0
"VAL"	0.0
"MI-PENTAKISPHOSPHATE"	0.0
"HYPOXANTHINE"	0.0
"CARBON-MONOXIDE"	0.0
"HYDROGEN-MOLECULE"	0.0
"CPD0-2167"	0.0
"CPD-239"	0.0
"UNDECAPRENYL-DIPHOSPHATE"	0.0
"GLYCOLLATE"	0.0
"CPD-10774"	0.0
"BETAINE"	0.0
# "CPD-10774"	0.0
"CH33ADO"	0.0
"URACIL"	0.0
"METOH"	0.0
"CPD-1772"	0.0
"4FE-4S"	0.0
"CPD-560"	0.0
"CPD-108"	0.0
"THYMINE"	0.0
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE"	0.0
"UREA"	0.0
"FORMATE"	0.0
"D-ALANINE"	0.0
"CPD-534"	0.0
"GLYCEROL"	0.0
"GLYCOLALDEHYDE"	0.0
"D-LACTATE"	0.0
"BUTANAL"	0.0
"CPD-564"	0.0
"XANTHINE"	0.0
"PROTON"	0.0
"ETOH"	0.0
