# File specifies recipes for making different media by adding ingredients to base media defined in ```media/```
"media id"	"recipe"
"minimal"	"M9_GLC 1 L + wcEcoli_base 0 L"
"minimal_minus_oxygen"	"M9_GLC 1 L - OXYGEN-MOLECULE Infinity + wcEcoli_base 0 L"
"minimal_plus_amino_acids"	"M9_GLC 0.8 L + 5X_supplement_EZ 0.2 L + wcEcoli_base 0 L"
"GLC_G6P"	"GLC_G6P"
"GLC_LCT"	"GLC_LCT"
# "minimal_no_glucose"	"M9"
# "minimal_acetate"	"M9 1.0 L + ACET Infinity"
# "minimal_fumarate"	"M9 1.0 L + FUM Infinity"
# "minimal_malate"	"M9 1.0 L + MAL Infinity"
# "minimal_succinate"	"M9 1.0 L + SUC Infinity"
# "minimal_minus_calcium"	"M9_GLC 1.0 L - CA+2 Infinity"
# "minimal_minus_magnesium"	"M9_GLC 1.0 L - MG+2 Infinity"
# "minimal_minus_phosphate"	"M9_GLC 1.0 L - PI Infinity"
# "minimal_plus_arabinose"	"M9_GLC 1.0 L - ARABINOSE Infinity"
# "minimal_plus_cytidine"	"M9_GLC 1.0 L + CYTIDINE Infinity"
# "minimal_plus_ferric"	"M9_GLC 1.0 L + FE+3 Infinity"
# "minimal_plus_gallate"	"M9_GLC 1.0 L + CPD-183 Infinity"
# "minimal_plus_indole"	"M9_GLC 1.0 L + INDOLE Infinity"
# "minimal_plus_nitrate"	"M9_GLC 1.0 L + NITRATE Infinity"
# "minimal_plus_nitrite"	"M9_GLC 1.0 L + NITRITE Infinity"
# "minimal_plus_quercetin"	"M9_GLC 1.0 L + CPD-520 Infinity"
# "minimal_plus_sam"	"M9_GLC 1.0 L + S-ADENOSYLMETHIONINE Infinity"
# "minimal_plus_tungstate"	"M9_GLC 1.0 L + TUNGSTATE Infinity"
