# media for ecoli_core BiGG model metabolism
"molecule id"	"concentration (units.mmol / units.L)"
"cl_e"	0.003489752347402963
"cmp_e"	0.0
"co2_e"	100.0
"cobalt2_e"	0.002326501564935309
"colipa_e"	0.0
"cpgn_e"	0.0
"cpgn_un_e"	0.0
"crn_e"	0.0
"csn_e"	0.0
"cu2_e"	0.002326501564935309
"cu_e"	0.0
"cyan_e"	0.0
"cynt_e"	0.0
"cys__D_e"	0.0
"cys__L_e"	0.0
"cytd_e"	0.0
"dad_2_e"	0.0
"damp_e"	0.0
"dca_e"	0.0
"dcmp_e"	0.0
"dcyt_e"	0.0
"ddca_e"	0.0
"dgmp_e"	0.0
"dgsn_e"	0.0
"dha_e"	0.0
"dimp_e"	0.0
"din_e"	0.0
"dms_e"	0.0
"dmso_e"	0.0
"dopa_e"	0.0
"dtmp_e"	0.0
"dump_e"	0.0
"duri_e"	0.0
"eca4colipa_e"	0.0
"enlipa_e"	0.0
"enter_e"	0.0
"etha_e"	0.0
"ethso3_e"	0.0
"glcur_e"	0.0
"etoh_e"	0.0
"gln__L_e"	0.0
"f6p_e"	0.0
"fald_e"	0.0
"fe2_e"	0.005563565490307617
"glu__L_e"	0.0
"gly_e"	0.0
"glyald_e"	0.0
"glyb_e"	0.0
"fe3_e"	0.005234996871573878
"fe3dcit_e"	0.0
"fe3dhbzs_e"	0.0
"fe3hox_e"	0.0
"fe3hox_un_e"	0.0
"fecrm_e"	0.0
"glyc2p_e"	0.0
"glyc3p_e"	0.0
"glyc_e"	0.0
"glyc__R_e"	0.0
"glyclt_e"	0.0
"gmp_e"	0.0
"gsn_e"	0.0
"gthox_e"	0.0
"gthrd_e"	0.0
"gtp_e"	0.0
"gua_e"	0.0
"fecrm_un_e"	0.0
"feenter_e"	0.0
"feoxam_e"	0.0
"feoxam_un_e"	0.0
"for_e"	0.0
"fru_e"	0.0
"frulys_e"	0.0
"h2_e"	0.0
"h2o2_e"	0.0
"h2o_e"	Infinity
"fruur_e"	0.0
"fuc__L_e"	0.0
"h2s_e"	0.0
"fum_e"	0.0
"g1p_e"	0.0
"g3pc_e"	0.0
"h_e"	Infinity
"hacolipa_e"	0.0
"halipa_e"	0.0
"hdca_e"	0.0
"g3pe_e"	0.0
"g3pg_e"	0.0
"hdcea_e"	0.0
"12ppd__R_e"	0.0
"hg2_e"	0.0
"his__L_e"	0.0
"hom__L_e"	0.0
"hxa_e"	0.0
"hxan_e"	0.0
"idon__L_e"	0.0
"g3pi_e"	0.0
"g3ps_e"	0.0
"g6p_e"	0.0
"gal1p_e"	0.0
"gal_e"	0.0
"gal_bD_e"	0.0
"galct__D_e"	0.0
"galctn__D_e"	0.0
"ile__L_e"	0.0
"galctn__L_e"	0.0
"12ppd__S_e"	0.0
"galt_e"	0.0
"galur_e"	0.0
"gam6p_e"	0.0
"gam_e"	0.0
"imp_e"	0.0
"indole_e"	0.0
"inost_e"	0.0
"ins_e"	0.0
"gbbtn_e"	0.0
"14glucan_e"	0.0
"gdp_e"	0.0
"glc__D_e"	8.0
"glcn_e"	0.0
"isetac_e"	0.0
"k_e"	0.1308380867424037
"kdo2lipid4_e"	0.0
"glcr_e"	0.0
"glcur1p_e"	0.0
"lac__D_e"	0.0
"15dap_e"	0.0
"lac__L_e"	0.0
"23camp_e"	0.0
"lcts_e"	0.0
"leu__L_e"	0.0
"lipa_e"	0.0
"lipa_cold_e"	0.0
"lys__L_e"	0.0
"o2s_e"	0.0
"ocdca_e"	0.0
"ocdcea_e"	0.0
"octa_e"	0.0
"orn_e"	0.0
"orot_e"	0.0
"pacald_e"	0.0
"lyx__L_e"	0.0
"mal__D_e"	0.0
"mal__L_e"	0.0
"peamn_e"	0.0
